Mode,Density,Total_Runs,Broken_Runs,Failure_Rate_%,Avg_Systemic_Impact,Max_Systemic_Impact,Avg_Impact_Factor,Max_Impact_Factor,Dominant_Break_Point
black_swan,0.1,5,5,100.0,49687652.13,58293407.6,36.92,36.92,1.0
black_swan,0.5,5,5,100.0,69502074.07,83557755.65,36.92,36.92,1.0
black_swan,1.0,5,5,100.0,813843065.37,1575855742.08,36.92,36.92,1.0
black_swan,2.0,5,5,100.0,1114096170.23,1478937638.37,36.92,36.92,1.0
black_swan,5.0,5,5,100.0,1521875880.34,1809068405.82,36.92,36.92,1.0
isolated,0.1,5,5,100.0,38959566.17,42050427.55,24.38,24.38,2.0
isolated,0.5,5,5,100.0,51683583.45,58277907.28,24.38,24.38,2.0
isolated,1.0,5,5,100.0,51676766.97,54467488.03,24.38,24.38,2.0
isolated,2.0,5,5,100.0,242756121.46,885684478.88,24.38,24.38,2.0
isolated,5.0,5,5,100.0,874831854.93,1023889731.24,24.38,24.38,2.0
regional,0.1,5,5,100.0,42637139.59,50413833.92,24.56,24.56,1.0
regional,0.5,5,5,100.0,52392568.99,61778646.49,24.56,24.56,1.0
regional,1.0,5,5,100.0,242887914.1,927361743.67,24.56,24.56,1.0
regional,2.0,5,5,100.0,948278823.4,1046741051.3,24.56,24.56,1.0
regional,5.0,5,5,100.0,1060898300.86,1129629724.5,24.56,24.56,1.0
systemic,0.1,5,5,100.0,46186657.04,51344617.02,33.15,33.15,1.0
systemic,0.5,5,5,100.0,53025565.49,61744699.21,33.15,33.15,1.0
systemic,1.0,5,5,100.0,373235624.36,1458589700.6,33.15,33.15,1.0
systemic,2.0,5,5,100.0,805805349.98,1056036371.75,33.15,33.15,1.0
systemic,5.0,5,5,100.0,1152346635.85,1265733591.6,33.15,33.15,1.0
